seq|reserved_at|kind|reason|key|outcome|completed_at|call_id
1|2026-09-22T02:56:12Z|key|race|rk-1|PENDING|-|SOL-01-02561229662
2|2026-09-22T02:56:13Z|key|race|rk-6|PENDING|-|SOL-02-0256137799
3|2026-09-22T02:56:13Z|key|race|rk-4|PENDING|-|SOL-03-02561325718
4|2026-09-22T02:56:13Z|key|race|rk-7|PENDING|-|SOL-04-02561317767
5|2026-09-22T02:56:13Z|key|race|rk-5|PENDING|-|SOL-05-02561319383
6|2026-09-22T02:56:13Z|key|race|rk-9|PENDING|-|SOL-06-0256135599
7|2026-09-22T02:56:13Z|key|race|rk-2|PENDING|-|SOL-07-0256135596
8|2026-09-22T02:56:13Z|key|race|rk-8|PENDING|-|SOL-08-0256134079
9|2026-09-22T02:56:14Z|final|race final|rf-1|PENDING|-|SOL-09-0256145954
10|2026-09-22T02:56:14Z|final|race final|rf-2|PENDING|-|SOL-10-02561430083
