sid|status|owner|mechanism|evidence|round
S01|claimed|core|namespaces.open + announce + action.register(send) + ViewHost.open_scope mint + invoke + pump + subscribe from_cursor=0 just-created|§R13.7-S01|R013
S02|claimed|adaptation|namespaces.open + open_scope + announce pi kinds + register send/approve/cancel + cursor_resolve live edge + pump|§R13.7-S02|R013
S03|claimed|core|open_scope + subscribe 0 + close releases reference + persist triple + pump appends + ns-guard catch-up + register/read|§R13.7-S03|R013
S04|claimed|core|announce job + register submit + open_scope + spawn-announce inside handler + subscribe 0 + pump + retire sends onEnd|§R13.7-S04|R013
S05|claimed|core|announce + register read + open_scope + directory_list + invoke read → recursive walk rows|§R13.7-S05|R013
S06|claimed|core|two namespaces + per-ns action typing + open_scope + same-ns ScopeDenied on subscribe/invoke + scoped directory_list|§R13.7-S06|R013
S07|claimed|core|open CapMap + open_scope + namespaced recorded claim table + fallback + read or CapabilityAbsent + opaque row + on_claim_changed|§R13.7-S07|R013
S08|claimed|core|two ns + register execute + pair gesture + cursor_resolve live + spawn-announce + subscribe 0 + s_D.subscribe(data-1) + teardown onEnd|§R13.7-S08 + EXPERIMENT R13-A|R013
S09|claimed|adaptation|adapter dedup by own id + pump logical order + never-auto-resubmit + five-variant rendering + transient/permanent split + ns-guard catch-up + burn ExplicitAbsent|§R13.7-S09 + EXPERIMENT R13-B|R013
S10|claimed|core|open_scope + onEnd termination signal + error boundary + uninstall closes scopes + retention + replay|§R13.7-S10 + EXPERIMENT R13-C|R013
S11|claimed|core|open CapMap not_supported + registry absence → CapabilityAbsent + fallback renders absence + unknown row|§R13.7-S11|R013
S12|claimed|adaptation|teardown scoped disposal + recorded selection revert with on_claim_changed + no pair record + new ns_id|§R13.7-S12|R013
